student_id,student_name,course_id,course_name,mark_id,mark,mark_date
2,Petey Cruiser,1,Math,1,4.75,2019-10-12 00:00:00.000
3,Anna Sthesia,1,Math,2,4.75,2020-02-26 00:00:00.000
4,Mario Speedwagon,1,Math,3,4.75,2019-12-11 00:00:00.000
5,Paul Molive,1,Math,4,5.5,2020-04-11 00:00:00.000
6,Anna Mull,1,Math,5,4,2020-03-01 00:00:00.000
7,Gail Forcewind,1,Math,6,4,2019-10-19 00:00:00.000
8,Paige Turner,1,Math,7,4.25,2019-11-19 00:00:00.000
11,Nick R. Bocker,1,Math,10,3.5,2020-05-17 00:00:00.000
12,Barb Ackue,1,Math,11,5.5,2019-10-25 00:00:00.000
13,Buck Kinnear,1,Math,12,3,2020-03-08 00:00:00.000
15,Ira Membrit,1,Math,14,5.25,2020-03-04 00:00:00.000
16,Shonda Leer,1,Math,15,5.25,2020-03-11 00:00:00.000
17,Brock Lee,1,Math,16,5.75,2020-02-24 00:00:00.000
18,Maya Didas,1,Math,17,5.25,2019-11-18 00:00:00.000
19,Rick O'Shea,1,Math,18,4,2019-10-12 00:00:00.000
23,Sue Vaneer,1,Math,22,6,2019-09-22 00:00:00.000
24,Cliff Hanger,1,Math,23,3.75,2020-02-04 00:00:00.000
25,Barb Dwyer,1,Math,24,5.25,2020-01-29 00:00:00.000
26,Terry Aki,1,Math,25,3.25,2020-03-01 00:00:00.000
27,Cory Ander,1,Math,26,5,2020-01-08 00:00:00.000
30,Barry Wine,1,Math,29,4.25,2020-01-21 00:00:00.000
31,Wilma Mumduya,1,Math,30,5.5,2020-03-16 00:00:00.000
32,Buster Hyman,1,Math,31,2,2019-11-20 00:00:00.000
33,Poppa Cherry,1,Math,32,2,2020-04-20 00:00:00.000
34,Zack Lee,1,Math,33,5.5,2019-11-18 00:00:00.000
35,Don Stairs,1,Math,34,3.5,2020-05-10 00:00:00.000
36,Saul T. Balls,1,Math,35,5.75,2020-05-09 00:00:00.000
37,Peter Pants,1,Math,36,5.5,2019-10-31 00:00:00.000
38,"Hal Appeno ",1,Math,37,4,2020-01-13 00:00:00.000
39,Otto Matic,1,Math,38,3.5,2020-04-26 00:00:00.000
40,Moe Fugga,1,Math,39,4.25,2020-04-15 00:00:00.000
41,Graham Cracker,1,Math,40,5.75,2020-04-14 00:00:00.000
42,Tom Foolery,1,Math,41,4.75,2020-04-11 00:00:00.000
43,Al Dente,1,Math,42,3.5,2019-11-21 00:00:00.000
44,Bud Wiser,1,Math,43,4.25,2020-04-07 00:00:00.000
45,Polly Tech,1,Math,44,4.75,2020-02-03 00:00:00.000
46,Holly Graham,1,Math,45,3.75,2019-10-12 00:00:00.000
47,Frank N. Stein,1,Math,46,4.75,2020-04-25 00:00:00.000
48,Cam L. Toe,1,Math,47,3.75,2020-05-06 00:00:00.000
49,Pat Agonia,1,Math,48,5,2019-10-06 00:00:00.000
50,Tara Zona,1,Math,49,3,2020-03-15 00:00:00.000
54,"Phil Harmonic ",1,Math,53,3.25,2019-11-30 00:00:00.000
55,Arty Ficial,1,Math,54,2,2020-01-27 00:00:00.000
56,Will Power,1,Math,55,4.75,2020-04-02 00:00:00.000
58,Juan Annatoo,1,Math,57,3,2020-05-17 00:00:00.000
59,Stew Gots,1,Math,58,3.5,2020-03-17 00:00:00.000
61,Bill Emia,1,Math,60,3.75,2020-02-01 00:00:00.000
62,Curt N. Call,1,Math,61,4,2019-11-29 00:00:00.000
63,Max Emum,1,Math,62,4.25,2019-11-18 00:00:00.000
64,Minnie Mum,1,Math,63,5,2019-12-03 00:00:00.000
66,Hap E. Birthday,1,Math,65,4,2020-03-15 00:00:00.000
67,Matt Innae,1,Math,66,3.75,2020-03-21 00:00:00.000
68,Polly Science,1,Math,67,3.75,2019-11-13 00:00:00.000
69,Tara Misu,1,Math,68,4.75,2020-04-19 00:00:00.000
71,Gerry Atric,1,Math,70,3.75,2019-10-29 00:00:00.000
72,Kerry Oaky,1,Math,71,4,2019-10-01 00:00:00.000
73,Midge Itz,1,Math,72,3.5,2020-01-22 00:00:00.000
74,Gabe Lackmen,1,Math,73,3.5,2020-02-22 00:00:00.000
75,Mary Christmas,1,Math,74,3,2019-11-19 00:00:00.000
77,Jim Nasium,1,Math,76,4.75,2020-03-01 00:00:00.000
78,Angie O. Plasty,1,Math,77,6,2020-05-16 00:00:00.000
79,Ella Vator,1,Math,78,4.75,2020-05-11 00:00:00.000
80,Sal Vidge,1,Math,79,5,2019-11-02 00:00:00.000
82,Artie Choke,1,Math,81,5.5,2020-02-01 00:00:00.000
83,Hans Olo,1,Math,82,3,2019-10-15 00:00:00.000
84,Marge Arin,1,Math,83,4,2020-04-21 00:00:00.000
85,Hugh Briss,1,Math,84,3,2020-05-03 00:00:00.000
86,Gene Poole,1,Math,85,6,2020-01-21 00:00:00.000
87,Ty Tanic,1,Math,86,4.75,2019-10-09 00:00:00.000
89,Lynn Guini,1,Math,88,3.5,2020-01-15 00:00:00.000
90,Claire Voyant,1,Math,89,5.25,2019-11-29 00:00:00.000
91,Peg Leg,1,Math,90,3.5,2019-10-05 00:00:00.000
92,Jack E. Sack,1,Math,91,5.5,2019-10-23 00:00:00.000
93,Marty Graw,1,Math,92,4,2020-02-25 00:00:00.000
94,Ash Wednesday,1,Math,93,4.5,2019-12-22 00:00:00.000
95,Olive Yu,1,Math,94,6,2019-11-28 00:00:00.000
96,Gene Jacket,1,Math,95,4.75,2019-11-19 00:00:00.000
97,Tom Atoe,1,Math,96,3,2019-11-27 00:00:00.000
99,Sharon Needles,1,Math,98,4.25,2020-03-05 00:00:00.000
